company_id,department,product_id,product_name,category,units_sold,revenue,profit_margin,customer_feedback_score,employee_id,employee_name,employee_role,employee_performance_score,employee_turnover,training_program_completed,salary,supplier_id,supplier_name,inventory_level,reorder_point,technology_usage_score,brand_loyalty_score,market_research_index,exit_interview_score,mission_clarity_score,company_direction_score,future_planning_score,years_with_company,contract_value,projected_growth
49,Sales,1089,Headphones,Gadgets,497,35666.08328185746,28.70870638097862,8,19159,Lisa White,Engineer,10,0,0,69335.09076418912,694,Supplier C,158,366,5,1,3,4,10,6,2,4,21647.559612650155,20.786363384510842
4,IT,1632,Phone,Gadgets,228,32339.22637461036,22.87066730570772,10,19313,Michael Brown,Salesperson,9,1,1,64493.40256221983,538,Supplier B,788,404,1,3,3,5,6,10,5,1,10156.859329761613,12.094022433948284
73,Sales,1862,Laptop,Electronics,446,163577.06334364426,23.97997554655552,7,11431,John Doe,Engineer,8,1,1,75530.05556751057,701,Supplier D,377,482,2,5,7,6,3,2,7,2,72321.6272948823,3.981906141670283
88,IT,1433,Tablet,Gadgets,198,25828.761707636946,24.496253276651288,7,18193,Tom Green,Salesperson,2,0,0,93092.42390768434,847,Supplier C,274,378,7,5,6,1,1,8,10,12,57097.70975106455,16.60546635619717
13,IT,1867,Charger,Gadgets,1,7529.443606072595,8.070675955013927,5,17653,John Doe,HR Specialist,10,1,1,58616.42156611767,609,Supplier C,782,193,2,3,9,5,3,9,6,5,94298.33343737111,20.009925453114057
52,Production,1818,Charger,Electronics,83,191862.24092445028,16.345713883698732,5,14302,Tom Green,Technician,7,0,0,69552.11919202175,636,Supplier C,169,460,8,1,10,9,4,9,1,14,71742.39470083156,4.664215743166243
37,Marketing,1021,Charger,Accessories,447,55439.48427437933,16.378610459178887,8,16998,Lisa White,Manager,4,0,0,119016.44125365179,822,Supplier D,790,243,4,4,5,7,6,3,7,14,20418.750928335867,20.77960126716168
11,Sales,1900,Charger,Electronics,32,95169.64290149426,5.949823839371621,6,16520,Michael Brown,Technician,10,1,1,97344.28625962642,931,Supplier C,876,148,2,4,3,8,4,4,10,11,66232.64729035884,2.50695656811585
100,IT,1236,Laptop,Accessories,79,42262.581050079825,6.1125353171139825,3,16847,Michael Brown,Manager,5,0,0,60386.2846390933,983,Supplier A,163,212,5,1,6,3,10,10,4,13,36990.68435178921,14.496793166123833
87,Marketing,1973,Laptop,Accessories,175,136478.67666076377,12.743900608085532,2,13538,Tom Green,Manager,5,0,1,46089.23296050016,711,Supplier B,399,441,3,6,5,6,8,9,5,3,36665.6157187776,11.708319574480578
35,Marketing,1107,Laptop,Electronics,325,129127.26731752713,29.910791519558728,9,13871,John Doe,Salesperson,9,0,0,114380.75372089863,591,Supplier D,300,383,6,7,5,3,10,9,3,1,47680.34294220418,2.143315419878177
32,HR,1602,Laptop,Electronics,315,43751.737745578415,15.847694466611326,1,17194,Michael Brown,Engineer,10,0,0,80729.58659916348,605,Supplier B,710,167,1,3,5,1,2,10,7,18,56431.84722523356,8.448426937121948
5,HR,1907,Tablet,Gadgets,309,12420.907304499366,27.89495731999091,10,13426,Lisa White,Engineer,6,0,1,98970.6423951944,594,Supplier B,881,58,8,5,4,7,6,2,3,8,98219.3818506724,14.38930219438253
21,Production,1980,Charger,Electronics,156,45231.78054361655,9.650193753351203,7,12172,Lisa White,Technician,8,0,0,55626.909152037275,685,Supplier C,333,199,5,6,8,9,5,10,8,1,26778.443432324086,1.0623786019727257
80,HR,1667,Laptop,Accessories,151,72115.33496198141,18.94579600586993,5,13624,Lisa White,HR Specialist,4,0,1,55435.44723914372,747,Supplier D,682,110,2,2,2,4,5,10,9,0,78898.23476901412,3.1235031445864845
55,Production,1285,Laptop,Gadgets,462,16168.739681007304,21.0093170304187,4,13475,Michael Brown,Salesperson,5,1,0,71011.33572511247,876,Supplier D,384,345,10,7,1,2,2,5,7,6,91156.49541701071,16.055796749734256
19,Sales,1480,Laptop,Electronics,431,13973.58699888851,15.213627590371562,8,19355,Lisa White,Engineer,2,1,0,116781.90655268298,886,Supplier D,685,353,2,5,4,4,5,6,7,4,78044.18685260043,22.826183228715117
59,Marketing,1096,Headphones,Gadgets,480,60701.1041806377,7.958181518197605,5,11463,Lisa White,Technician,2,0,1,114899.59644237235,589,Supplier D,419,52,6,7,4,5,5,8,8,8,32092.505745808216,17.806561323713417
21,HR,1251,Laptop,Gadgets,56,4187.774972182066,29.651512733284065,4,11881,Michael Brown,Manager,10,0,1,100085.65750830146,622,Supplier C,101,382,7,10,1,9,2,8,10,9,76818.08932219197,4.934911667496435
69,IT,1803,Laptop,Electronics,39,43697.56864322179,16.52338082631455,4,15222,John Doe,HR Specialist,3,0,1,41834.70077853738,935,Supplier B,583,108,1,8,4,7,9,6,7,12,15954.418552343102,18.16268286750904
81,Marketing,1716,Phone,Accessories,30,80911.97783215696,17.24853709047527,2,17441,Tom Green,HR Specialist,1,0,1,107764.01730453881,842,Supplier B,565,226,7,6,4,4,5,7,7,3,90118.67683515143,16.172027684980563
73,IT,1082,Laptop,Accessories,469,165961.76300120648,9.848957742308135,7,19709,Tom Green,Manager,4,1,0,85162.32697935807,744,Supplier C,795,119,2,4,6,1,7,4,9,0,20817.527064556994,20.341754634261164
16,HR,1308,Laptop,Electronics,212,50878.19155662729,24.827747969009117,1,16045,John Doe,Engineer,4,0,1,115761.93076639582,915,Supplier B,597,301,8,4,8,4,7,3,10,6,27859.618875195454,6.06924439172106
78,Marketing,1513,Charger,Gadgets,368,1069.3676970111126,14.993489945213216,4,10780,Tom Green,Engineer,4,0,1,93269.4952363467,615,Supplier D,250,233,10,8,6,7,7,2,6,2,32010.403040360066,10.93089179927169
57,Marketing,1431,Tablet,Accessories,234,18731.11891698336,9.115628245435872,3,14874,John Doe,Technician,1,0,1,92083.61389088506,899,Supplier B,581,279,3,4,6,9,9,7,1,13,25193.555236295837,7.262368844758014
72,IT,1424,Laptop,Electronics,122,159533.16211123893,16.412455600552846,8,16878,Michael Brown,Salesperson,5,1,0,59175.56530598426,658,Supplier B,563,433,8,9,6,4,4,7,3,16,28637.807367965554,4.213781427202233
63,HR,1714,Tablet,Electronics,104,85324.99193799689,7.38718313642847,3,19045,John Doe,Engineer,2,1,1,114535.87603960343,581,Supplier A,323,111,6,4,5,2,4,2,8,11,69691.88973599572,10.394129377143603
36,IT,1273,Tablet,Gadgets,426,90127.37662915005,22.50447547118289,1,12556,Tom Green,Engineer,2,0,0,65192.267235574865,779,Supplier D,535,480,2,7,7,4,10,5,6,13,71078.92591434962,1.4067602360464626
57,Production,1056,Headphones,Gadgets,55,122371.13406040684,19.236718575042893,7,13983,Tom Green,Technician,2,1,0,111232.31777470515,562,Supplier A,639,73,5,5,9,6,3,3,6,8,66379.0658697842,21.527969603327833
39,IT,1904,Tablet,Accessories,81,32978.49550496904,15.280415101649428,7,15791,John Doe,Engineer,2,0,0,107308.78579078881,703,Supplier C,825,364,6,9,6,4,7,4,8,7,30115.256887776995,9.19529919610687
13,Sales,1157,Charger,Electronics,266,72279.9601079338,16.34130477109254,4,13948,John Doe,Manager,4,1,1,39288.596165373034,646,Supplier A,244,327,2,9,2,9,1,7,2,19,63729.86116399356,22.02249019467197
51,HR,1246,Phone,Gadgets,476,5890.75302626419,17.658099132467687,9,10474,Lisa White,HR Specialist,5,0,1,103796.6732344663,552,Supplier B,553,193,5,4,4,7,7,5,2,10,29045.50134927775,4.619560315645321
38,HR,1957,Headphones,Electronics,400,57420.358121627185,25.146080270619112,8,11012,John Doe,Manager,2,0,1,71326.90896897973,796,Supplier A,751,221,8,4,7,8,9,4,1,1,80584.97285140112,9.720020418559113
45,Marketing,1028,Laptop,Accessories,177,24018.236911437114,20.92629723881229,9,14164,John Doe,Manager,9,1,1,71352.05449607267,694,Supplier C,956,120,3,5,7,6,4,7,1,11,62129.938099793886,15.293680970800217
11,Sales,1711,Phone,Accessories,310,47937.08046535961,8.23625547043617,1,18143,Michael Brown,Engineer,1,1,0,34039.19508693403,950,Supplier D,679,276,4,6,8,8,10,9,3,14,38162.59895507915,12.679299024014387
38,Production,1861,Laptop,Accessories,346,23272.17747902397,13.157767788481998,1,11020,John Doe,Manager,4,1,1,40417.55930766721,969,Supplier A,429,73,6,1,2,4,3,1,9,10,58613.69017763221,24.849828142006366
87,Marketing,1645,Tablet,Accessories,192,42627.60574869029,13.564549579270938,1,17300,John Doe,Salesperson,10,0,0,93394.7820899873,737,Supplier C,80,128,9,10,5,7,5,4,10,11,43340.933879014985,9.954228450143429
70,Marketing,1663,Laptop,Electronics,271,35616.347186549065,17.86974897619649,7,13461,Tom Green,Engineer,8,0,1,73606.36225599935,653,Supplier B,529,62,6,10,4,2,3,1,4,13,29982.969954433254,7.950932720587354
22,Marketing,1999,Charger,Gadgets,414,188130.07186137684,8.980426919025316,6,17444,John Doe,Manager,10,1,0,74032.66157845293,907,Supplier A,172,218,1,7,6,4,4,2,5,8,84684.25599031757,13.078974357432667
27,Marketing,1394,Phone,Gadgets,22,73874.79436417918,13.22340246927942,8,19162,Lisa White,Technician,4,1,1,105492.47950497792,680,Supplier C,33,68,5,6,8,2,4,7,4,7,44680.33135509123,5.108515132371442
64,IT,1689,Charger,Electronics,461,60721.411014106336,14.624566781920981,10,18552,Lisa White,Technician,6,1,1,84369.53266528712,842,Supplier A,619,68,6,10,6,5,7,10,9,17,27267.88438248379,10.873861563683917
22,Marketing,1829,Tablet,Gadgets,36,102242.41942054007,25.7121388576472,3,10088,John Doe,Manager,10,1,1,103166.1030901101,563,Supplier D,804,103,6,9,9,9,3,10,5,8,74137.91870573153,19.62701816263459
46,Marketing,1735,Laptop,Electronics,120,82449.57988443333,15.690397444413563,3,19139,Jane Smith,Manager,3,1,0,101735.80121792818,559,Supplier B,941,190,4,9,5,1,5,5,3,8,82424.69058520148,8.709360736860486
73,HR,1233,Phone,Gadgets,329,37175.71806024215,16.234092867931164,9,16448,Michael Brown,Technician,5,1,0,31059.51702122306,992,Supplier B,620,274,7,10,6,10,2,6,7,4,86325.99551465386,18.842176839534197
67,HR,1737,Tablet,Electronics,268,523.344343895332,5.679179071684469,10,11331,John Doe,Engineer,8,1,0,112964.07557236968,609,Supplier D,768,193,9,4,2,3,9,1,8,0,28205.066274124863,1.2021347210773863
44,Marketing,1427,Headphones,Accessories,170,57678.22836822384,16.840106042591074,4,18510,Jane Smith,Engineer,8,0,1,71208.87426028436,920,Supplier D,698,232,4,10,8,3,1,9,1,14,23426.688237348193,7.486842784217217
58,Sales,1262,Charger,Accessories,494,54396.92931020951,7.900163628953578,2,12882,Tom Green,HR Specialist,8,0,0,48176.54291890396,789,Supplier C,567,137,4,1,6,10,9,1,5,5,17617.591723599755,16.18181247588057
35,Sales,1577,Phone,Electronics,337,45599.18321491121,27.99521713875273,10,15525,Tom Green,Engineer,1,1,1,58623.15421005573,534,Supplier A,856,363,7,6,7,10,4,3,6,3,21967.351602653758,14.088265828576201
40,HR,1482,Tablet,Electronics,163,86486.90146965683,26.54223516498435,3,18187,Lisa White,HR Specialist,7,1,0,68420.32939922038,610,Supplier C,992,131,10,7,9,1,4,3,6,8,60020.33479208003,12.335476172481288
8,Marketing,1477,Headphones,Accessories,434,26280.090550173485,6.784021043074338,5,10861,Jane Smith,Technician,9,0,0,30951.721226365844,953,Supplier D,234,53,2,8,6,9,7,5,2,8,33088.59343214454,4.767567155271192
61,Sales,1933,Headphones,Electronics,12,80960.91709723073,19.52017171314474,2,18371,Jane Smith,Technician,6,1,1,62096.96753851621,787,Supplier C,746,81,7,1,1,7,5,8,3,16,17223.922837257865,18.12820433819259
62,Sales,1511,Laptop,Gadgets,57,188833.4961668539,19.00791942250294,2,17260,John Doe,Salesperson,6,1,1,92097.38716514634,718,Supplier A,498,427,4,9,6,3,2,1,6,4,31307.18849181108,22.62004579894156
48,Sales,1387,Phone,Accessories,62,122088.48804900347,26.754114843684,3,17768,Lisa White,Manager,6,0,1,84908.91941214835,836,Supplier D,229,77,6,6,7,8,5,1,9,3,13868.1674468455,13.819672262733167
77,HR,1008,Headphones,Accessories,267,95508.40747811618,14.448589664803439,6,11574,Lisa White,Engineer,4,0,0,114842.68394327036,859,Supplier D,411,344,2,9,8,6,8,4,4,16,44015.53259852809,6.147748328522209
80,Production,1267,Headphones,Electronics,349,110837.61373963414,6.5395075286450455,2,12354,Jane Smith,Manager,4,0,1,114988.68884060594,901,Supplier A,197,97,1,9,3,3,6,5,8,17,30101.897499799587,1.227992556685277
73,Production,1143,Charger,Accessories,299,114973.37626068383,14.877578412172594,2,13906,Lisa White,Manager,1,0,1,71107.47383539175,915,Supplier D,63,188,10,7,2,4,5,1,5,7,48458.40635095277,23.39748695432992
70,Sales,1574,Tablet,Gadgets,297,58973.05054617315,7.093468637437862,1,10340,Lisa White,Engineer,1,1,0,105220.30185766456,955,Supplier C,763,368,5,6,9,5,5,7,2,18,44660.6656802456,20.28912084674745
87,Sales,1697,Charger,Electronics,435,25449.630548811605,28.86518102878078,7,16471,John Doe,Salesperson,9,1,0,42914.32428206787,679,Supplier B,919,248,6,10,7,2,4,7,6,10,97336.39133699932,22.305030733642322
11,IT,1773,Tablet,Accessories,465,21478.929689447003,25.933782911784498,6,19535,Michael Brown,Technician,5,0,1,92397.03526939939,565,Supplier A,916,254,10,7,7,1,10,3,9,7,18367.127999707976,5.615884182420063
17,Sales,1370,Headphones,Gadgets,309,18426.95372460177,13.819398026641409,9,16693,John Doe,Salesperson,9,0,1,99577.03464765337,967,Supplier A,689,58,6,2,5,7,8,2,4,3,88363.59644165338,6.9542155038042415
73,Production,1639,Headphones,Electronics,92,107932.64473644612,21.736261261729805,7,19822,Jane Smith,HR Specialist,3,1,1,94283.57585957882,558,Supplier A,147,236,10,9,4,7,10,1,9,2,10980.70269710754,1.5639622064905145
7,IT,1375,Tablet,Accessories,257,78706.21580063486,7.238399189577855,6,13033,Tom Green,Salesperson,10,0,0,109835.34669023716,652,Supplier D,777,258,2,6,5,4,4,9,2,7,22021.357272681733,7.358109917472695
75,Production,1543,Tablet,Accessories,318,6048.7297737834915,26.840476207987084,7,11238,Jane Smith,Salesperson,9,1,0,58782.74902128824,888,Supplier B,114,472,6,8,2,4,4,8,10,9,74661.12349005786,21.920914648250182
60,Sales,1529,Charger,Accessories,149,22670.537632536274,18.063676757329162,3,16831,John Doe,Engineer,3,1,0,85382.93504377236,815,Supplier B,757,291,8,6,8,6,4,5,2,1,40087.38699928748,10.058592587553706
84,HR,1555,Laptop,Accessories,141,5122.311220298865,6.741732036381002,2,15048,Jane Smith,Manager,1,0,0,36202.99259758631,841,Supplier B,66,248,8,3,10,3,8,2,9,3,46932.15922088968,13.195712414675757
87,Sales,1524,Charger,Gadgets,393,22804.96050805366,26.42822400847859,9,16851,Jane Smith,Manager,1,0,1,51525.79919215558,652,Supplier D,20,110,1,2,4,4,2,2,2,11,58943.852608453664,10.402257655174239
71,Marketing,1313,Laptop,Electronics,135,113613.23658378127,12.368413985240412,1,11165,Tom Green,Salesperson,7,1,0,89166.61181142906,606,Supplier D,742,190,6,5,10,8,7,4,3,2,7953.891052819192,14.162692517648098
26,Marketing,1817,Laptop,Electronics,166,13968.707458064067,6.226792087012255,5,11887,Tom Green,Engineer,5,0,1,109578.80489255887,635,Supplier A,819,185,7,9,1,6,3,5,10,5,72104.7239396598,5.448122408672204
84,Marketing,1353,Headphones,Accessories,381,40126.954699717164,14.02311357522327,8,11769,Lisa White,Salesperson,10,0,0,84532.42140615186,991,Supplier B,313,467,5,1,4,5,6,2,3,3,54234.03789861932,7.967896681830516
87,Marketing,1904,Headphones,Electronics,244,154330.10610553413,17.92993958930646,3,13419,Jane Smith,Engineer,8,0,0,106817.42588328235,557,Supplier A,938,197,10,7,10,10,9,10,2,2,74841.4938722192,6.684267620638053
95,IT,1063,Laptop,Gadgets,184,173234.9887440401,20.970462631469665,7,15933,John Doe,Engineer,5,0,0,87171.24598005874,603,Supplier A,604,206,8,4,2,9,10,3,2,13,11506.57438374258,20.66643864007591
55,Production,1154,Headphones,Electronics,375,55486.80389710441,15.033697724444599,8,16542,Tom Green,HR Specialist,8,1,1,55334.77722824403,615,Supplier B,379,59,10,7,2,10,6,8,3,2,57842.295978968905,18.862226229917475
67,Marketing,1864,Laptop,Electronics,149,19217.387002370975,13.231449683469508,7,13821,Jane Smith,Salesperson,1,0,0,85308.09080455243,686,Supplier B,344,422,3,5,10,3,7,3,9,16,35422.585057772725,13.627162214117071
40,HR,1397,Tablet,Electronics,372,33136.919643832196,14.237182570157113,1,19989,Tom Green,HR Specialist,5,1,1,71900.88195716115,606,Supplier B,94,160,2,9,8,5,1,8,10,2,69135.7014124701,12.585230661663395
78,HR,1410,Phone,Gadgets,261,66952.0481878501,20.9854764700817,3,15816,Lisa White,Manager,9,1,1,78040.05028641122,765,Supplier B,182,359,4,6,10,10,3,4,2,1,77473.64365108941,6.249373678916523
53,Production,1670,Charger,Electronics,211,157474.78257536227,15.722986277128818,6,11910,Jane Smith,HR Specialist,7,0,0,85517.8862986204,777,Supplier A,143,90,8,7,7,4,3,4,3,19,73026.50094105952,21.183993991217807
29,HR,1575,Laptop,Gadgets,484,111556.33239379771,8.665143937119728,8,19685,Lisa White,Manager,10,1,1,61414.406844404206,722,Supplier D,883,177,1,7,1,1,4,6,8,17,87265.57456357016,19.852126163406872
81,Marketing,1553,Charger,Electronics,315,14125.872314002803,7.410862632176622,3,18078,Jane Smith,Salesperson,8,0,1,96724.29088497788,556,Supplier C,318,81,6,8,4,1,10,6,2,12,57730.83303870933,5.579168854739642
27,IT,1598,Charger,Accessories,230,54763.63622100895,22.97409720351441,8,18830,John Doe,HR Specialist,5,0,1,119188.59076182588,828,Supplier A,435,349,9,8,1,6,8,2,3,16,76925.11368222149,23.660904902875316
96,Marketing,1757,Headphones,Electronics,465,27175.66508714749,29.69369703362538,1,10979,John Doe,Salesperson,4,0,1,59108.47417273132,596,Supplier A,826,381,2,3,6,9,1,4,9,17,31428.102880793536,21.707066346514374
12,HR,1327,Phone,Gadgets,77,171393.9069495503,13.832416007073684,2,13581,Michael Brown,Technician,10,1,0,60718.76987898325,511,Supplier D,534,83,9,6,10,8,10,4,9,17,83470.73623134138,8.15727508363041
57,HR,1074,Tablet,Electronics,291,90676.39906701462,8.115282364938507,5,14810,Jane Smith,Manager,8,1,1,92054.58305270309,918,Supplier B,161,192,6,6,4,3,4,3,8,2,39518.7720625311,7.647702540393041
31,Marketing,1101,Charger,Accessories,246,29965.448941209685,19.640057692313853,8,13443,John Doe,Manager,1,0,0,85895.95133039629,899,Supplier B,507,293,10,2,1,10,2,4,10,14,72040.04904675744,5.41822474915306
38,Sales,1418,Phone,Accessories,178,12692.728751671955,25.148127649962593,9,19051,Lisa White,Salesperson,10,1,1,46639.82870450719,685,Supplier D,70,203,6,8,3,4,4,5,5,0,49541.96021078099,21.332588706692018
1,Sales,1931,Headphones,Electronics,330,115724.91859556494,23.36078721845858,8,14937,John Doe,Manager,8,0,0,111071.96590769186,819,Supplier A,837,296,1,4,10,1,4,7,9,0,49591.25522919241,6.201914583486213
8,Marketing,1652,Charger,Electronics,234,35699.372872089516,15.675816935857119,3,16891,Tom Green,Salesperson,9,1,0,116224.21749643264,824,Supplier C,113,314,9,6,10,4,3,10,10,5,14955.870632371514,2.7313426732854085
60,IT,1385,Charger,Gadgets,205,99402.78415384315,15.977875095614786,3,14221,Michael Brown,Salesperson,5,0,1,65996.96478416704,676,Supplier A,171,149,4,6,3,6,8,9,6,3,45820.39505832602,5.014097173970588
62,HR,1947,Headphones,Electronics,387,39737.793742092945,6.368227552923665,2,18253,Lisa White,HR Specialist,5,0,0,117496.89041327895,946,Supplier A,164,230,10,4,7,8,1,3,8,17,35901.5893763878,12.938424679588918
90,Marketing,1099,Charger,Gadgets,257,64155.246251060824,21.57469394406257,6,14074,Tom Green,Technician,8,0,0,115857.03708696041,893,Supplier A,303,341,7,3,2,3,7,10,7,12,74782.16055272719,2.9318846564345256
82,HR,1668,Headphones,Accessories,24,127067.05369717193,8.84732721729141,2,14382,John Doe,HR Specialist,8,0,1,50252.95439582725,845,Supplier B,368,131,10,5,10,8,6,8,8,16,36226.629749661864,3.6414525920379894
46,Sales,1875,Laptop,Accessories,55,26012.470295367908,28.509952592584135,7,19384,Michael Brown,Manager,4,1,1,93462.76380618688,528,Supplier D,135,346,7,3,6,2,5,2,10,13,79538.65649025343,19.68619645020656
64,Production,1224,Headphones,Electronics,246,70829.38729614,6.81972944049853,2,10407,Michael Brown,HR Specialist,4,0,1,84895.24173665667,542,Supplier A,775,425,8,2,7,7,2,4,1,16,12286.813875121064,13.783547101430898
18,IT,1297,Laptop,Electronics,123,47336.57795990764,16.253308110702513,5,15933,Michael Brown,Manager,5,0,0,112350.31102641388,903,Supplier B,918,171,6,8,10,6,10,6,8,16,98128.77702277109,5.820177626343668
26,HR,1727,Headphones,Gadgets,376,131472.7095993948,19.885886154212322,1,13479,Tom Green,Engineer,9,0,1,60720.87156176754,858,Supplier B,334,477,2,10,9,7,4,3,10,2,76528.18568535555,9.86495745076704
17,HR,1211,Tablet,Gadgets,408,94049.99314786083,22.156368284796468,8,19523,Jane Smith,Salesperson,2,1,0,62986.48059395697,889,Supplier D,326,268,6,1,5,1,8,4,3,0,35748.323375093576,4.310105682200391
27,Marketing,1128,Charger,Accessories,484,70513.21624278382,22.95193610703238,10,19755,Tom Green,HR Specialist,6,0,0,105275.44049370426,772,Supplier C,292,286,2,5,5,9,7,6,4,10,93810.0123105235,3.2972941413465557
55,Production,1444,Tablet,Gadgets,145,124927.87722243229,21.405075151362393,10,10640,Lisa White,HR Specialist,9,0,1,69742.00335415735,510,Supplier A,943,57,1,4,5,1,10,7,4,3,32911.282150751154,16.070188722948508
36,HR,1686,Headphones,Electronics,238,102209.66059618752,16.687938322910384,8,15284,Tom Green,Engineer,4,0,0,102068.39053620162,539,Supplier A,569,365,8,3,5,5,5,10,8,9,13934.645249898726,6.559651824481989
32,Marketing,1976,Charger,Gadgets,247,93724.9484636696,14.193965066296874,3,19112,John Doe,Manager,1,1,1,93444.4969357735,554,Supplier A,960,84,10,2,7,8,8,5,7,10,36506.193307482725,24.0530508245224
36,Sales,1307,Charger,Accessories,499,22869.853893146217,5.754147499287122,2,16857,Lisa White,Manager,10,0,0,92083.55268691055,883,Supplier A,337,212,5,7,3,2,6,7,7,14,19646.844756287792,21.626788895287646
19,IT,1717,Charger,Accessories,397,24027.63186761286,8.423171075966035,7,10549,Tom Green,Manager,6,1,1,119567.73910173595,744,Supplier B,368,230,5,5,2,6,7,8,10,15,29675.19753407606,18.658194415044644
63,Sales,1662,Tablet,Accessories,191,29709.630594410595,14.028490875625788,7,14679,Tom Green,Salesperson,7,1,1,84059.09185563112,658,Supplier B,929,469,2,10,8,1,1,1,9,18,89192.51597089515,21.339025019507442
8,HR,1026,Headphones,Accessories,327,206099.2194610827,8.483457128080458,3,15252,Jane Smith,Engineer,5,1,0,51190.199918794286,656,Supplier B,856,199,9,6,3,4,5,3,8,18,79967.35884701974,13.996128755302163
65,Production,1762,Headphones,Accessories,36,41883.458595556935,13.801826349870447,6,12423,Michael Brown,Technician,2,1,1,113303.28720856595,601,Supplier C,252,415,8,3,2,2,7,8,2,6,34534.348180151625,3.401196068573335
16,IT,1471,Phone,Electronics,11,68602.36446183684,22.589513811879797,2,14930,Tom Green,HR Specialist,8,1,0,64799.80441147514,747,Supplier C,579,159,1,6,5,2,9,10,1,5,47558.30084627802,14.808989891143728
90,Production,1480,Charger,Electronics,26,41482.436021138565,18.542919245444352,9,10166,Tom Green,HR Specialist,4,1,1,116371.0254088208,918,Supplier D,563,113,10,5,9,7,6,7,4,8,12678.746027332363,16.820458820499557
17,Sales,1069,Laptop,Accessories,139,150.84677158045088,17.39857366984173,10,13019,Jane Smith,Salesperson,5,1,1,63402.75935967279,683,Supplier A,329,70,8,1,1,8,10,7,6,3,93886.74737284574,19.612057996639795
17,Production,1076,Charger,Gadgets,36,37376.839921579725,28.961053021820273,10,19583,Michael Brown,Technician,10,0,0,90523.12526849519,607,Supplier C,895,201,8,8,6,2,7,2,7,8,88736.09322406378,2.006993924812127
30,Production,1457,Charger,Electronics,319,66961.4893446109,5.652898093272319,6,15666,John Doe,Manager,8,1,1,84620.2558982661,567,Supplier B,243,275,4,7,5,9,2,6,8,4,5420.452359990423,18.511993578541237
19,HR,1045,Laptop,Electronics,209,44920.53777519701,24.18924355975238,10,13726,Jane Smith,Manager,5,1,0,37474.63631408073,848,Supplier D,687,330,10,4,7,7,9,4,4,4,23963.83899367777,10.820897237845575
4,Marketing,1462,Headphones,Accessories,476,18858.67121002672,27.556904178902148,9,17002,John Doe,HR Specialist,9,0,0,62648.43154458462,783,Supplier A,510,420,2,9,10,10,9,3,2,8,16164.990376025977,20.1086132912975
71,Marketing,1211,Phone,Accessories,323,10732.979932880235,25.40446014286396,2,13118,Jane Smith,Engineer,3,0,1,112835.56031525745,888,Supplier C,458,304,1,1,2,2,3,4,2,18,23899.191312631145,8.444374938131286
88,Marketing,1503,Charger,Gadgets,448,179067.41381867218,12.422046624171452,5,10232,Jane Smith,Manager,9,1,0,72717.39196678496,538,Supplier B,883,303,3,5,6,7,7,8,1,17,98780.77124689342,15.30869358783633
